 Event ID : 29
-22.0871 7.05056 276 150 167.3
9.81648 22.704 286 155 67.6
14.7247 19.8025 288 156 152.65
17.1788 18.4534 288 156 172.2
17.1788 15.5519 288 156 74.75
22.0871 15.5519 290 157 105.4
24.5412 19.8025 290 157 132.55
19.6329 19.8025 290 157 120.45
22.0871 18.4534 290 157 119.9
19.6329 14.2027 292 158 84.7
19.6329 22.704 292 158 76.2
26.9953 18.4534 292 158 127.75
26.9953 15.5519 292 158 84.45
29.4494 22.704 292 158 114.55
24.5412 14.2027 294 159 73.35
29.4494 19.8025 294 159 116.5
24.5412 22.704 294 159 81.3
26.9953 24.0532 294 159 67.05
34.3577 19.8025 296 160 100.75
31.9035 18.4534 296 160 97.3
36.8118 26.9547 298 161 67.55
39.2659 22.704 298 161 104
36.8118 24.0532 298 161 131.45
34.3577 22.704 298 161 142.95
31.9035 24.0532 298 161 97.05
39.2659 19.8025 298 161 80.95
36.8118 18.4534 298 161 83.1
49.0824 22.704 302 163 83.75
51.5365 24.0532 302 163 86.65
56.4447 24.0532 302 163 75.5
46.6282 26.9547 304 164 106.8
51.5365 26.9547 304 164 123.7
41.72 26.9547 304 164 70.95
46.6282 24.0532 304 164 103.7
44.1741 22.704 304 164 95.85
41.72 24.0532 304 164 105.85
49.0824 28.3038 304 164 94.6
56.4447 26.9547 306 165 100.6
53.9906 28.3038 306 165 101.55
44.1741 28.3038 306 165 82.4
58.8988 31.2053 310 167 90.1
58.8988 28.3038 310 167 102
61.3529 26.9547 310 167 90.55
63.8071 28.3038 310 167 99.8
66.2612 32.5545 312 168 98.15
68.7153 31.2053 312 168 101.75
63.8071 31.2053 312 168 101.9
66.2612 26.9547 312 168 73.15
61.3529 32.5545 312 168 83.95
66.2612 35.456 314 169 72.45
73.6235 31.2053 314 169 74.15
71.1694 35.456 314 169 67.9
71.1694 32.5545 314 169 95
76.0776 35.456 318 171 72.05
80.9859 35.456 318 171 93.3
76.0776 32.5545 318 171 69.35
88.3482 39.7067 322 173 79.45
78.5318 36.8052 322 173 73.85
80.9859 32.5545 322 173 69.25
85.8941 35.456 322 173 87.55
83.44 36.8052 322 173 88.15
88.3482 36.8052 324 174 81.5
98.1647 39.7067 326 175 82.35
93.2565 36.8052 326 175 71.1
103.073 39.7067 328 176 67.1
105.527 41.0558 330 177 71.75
105.527 43.9573 332 178 74.6
110.435 43.9573 332 178 78.05
112.889 45.3065 334 179 90.75
122.706 45.3065 336 180 58.15
110.435 41.0558 336 180 66.6
115.344 43.9573 338 181 79.45
117.798 45.3065 340 182 67.45
122.706 48.208 340 182 72.05
137.431 45.3742 344 184 132.8
132.522 48.3434 344 184 225.1
132.522 53.8755 346 185 165.4
142.339 53.8755 348 186 228.1
137.431 56.8448 348 186 124.2
147.247 56.8448 348 186 189.55
142.339 48.3434 350 187 169.2
147.247 62.3768 352 188 67.1
152.155 53.8755 352 188 258.75
152.155 48.3434 352 188 100.1
157.064 56.8448 354 189 268.4
161.972 53.8755 354 189 229.85
157.064 62.3768 356 190 138.9
161.972 65.3461 356 190 100.65
166.88 62.3768 358 191 211.3
166.88 56.8448 358 191 229.2
171.788 65.3461 360 192 158.75
171.788 53.8755 362 193 110.9
176.697 62.3768 362 193 213.05
206.146 62.3768 366 195 64
181.605 65.3461 366 195 226.5
181.605 70.8781 366 195 95.05
186.513 56.8448 368 196 84.25
186.513 62.3768 368 196 225.8
176.697 56.8448 368 196 165.9
191.421 65.3461 368 196 220.8
196.329 62.3768 372 198 136.8
191.421 70.8781 372 198 139.15
201.238 65.3461 372 198 192
196.329 73.8474 374 199 113.75
201.238 70.8781 374 199 188.1
211.054 65.3461 374 199 128
206.146 73.8474 376 200 172.2
211.054 70.8781 378 201 203.65
215.962 73.8474 380 202 208.85
215.962 79.3795 382 203 105.2
220.871 70.8781 382 203 175.75
225.779 79.3795 384 204 155.4
230.687 70.8781 384 204 97.65
225.779 73.8474 384 204 167.85
230.687 82.3487 386 205 144.8
235.595 79.3795 390 207 173.2
240.504 82.3487 390 207 132.15
235.595 73.8474 390 207 117.4
245.412 79.3795 392 208 90.65
